Iteration	Loss
0	0.695686
1	0.695134
2	0.692991
3	0.692302
4	0.693659
5	0.693663
6	0.691920
7	0.691144
8	0.689562
9	0.688643
10	0.688532
11	0.686858
12	0.686446
13	0.685942
14	0.684447
15	0.680229
16	0.679894
17	0.679155
18	0.673869
19	0.674920
20	0.674414
21	0.670161
22	0.660737
23	0.663212
24	0.673905
25	0.657282
26	0.664279
27	0.655848
28	0.670446
29	0.635395
30	0.661425
31	0.644252
32	0.630959
33	0.643155
34	0.633558
35	0.618408
36	0.620583
37	0.610357
38	0.613967
39	0.640361
40	0.660208
41	0.666172
42	0.693624
43	0.703488
44	0.713242
45	0.717655
46	0.706773
47	0.717916
48	0.702686
49	0.706530
50	0.707163
51	0.695805
52	0.687669
53	0.690031
54	0.689384
55	0.694330
56	0.700441
57	0.687033
58	0.695991
59	0.691727
60	0.677883
61	0.685816
62	0.687577
63	0.678551
64	0.679589
65	0.681697
66	0.675494
67	0.682130
68	0.680518
69	0.672409
70	0.675992
71	0.676922
72	0.673224
73	0.676828
74	0.679600
75	0.675817
76	0.673486
77	0.671333
78	0.681424
79	0.673798
80	0.671434
81	0.672630
82	0.670159
83	0.671589
84	0.668405
85	0.671344
86	0.671863
87	0.673958
88	0.664338
89	0.662208
90	0.662661
91	0.671568
92	0.665046
93	0.664028
94	0.665863
95	0.656889
96	0.663960
97	0.656773
98	0.657004
99	0.653683
100	0.661353
101	0.664723
102	0.677789
103	0.677794
104	0.673907
105	0.672083
106	0.677940
107	0.672953
108	0.685643
109	0.685915
110	0.676468
111	0.685787
112	0.681144
113	0.683949
114	0.671916
115	0.679164
116	0.682559
117	0.682363
118	0.671667
119	0.683633
120	0.683267
121	0.675010
122	0.675556
123	0.683190
124	0.677526
125	0.676694
126	0.678240
127	0.677730
128	0.689439
129	0.668442
130	0.673937
131	0.669859
132	0.682621
133	0.673237
134	0.674195
135	0.677080
136	0.679918
137	0.673444
138	0.684684
139	0.669916
140	0.671446
141	0.673992
142	0.677460
143	0.666006
144	0.666335
145	0.667628
146	0.666797
147	0.670280
148	0.663913
149	0.672922
150	0.675374
151	0.669686
152	0.661639
153	0.665937
154	0.669994
155	0.659858
156	0.666027
157	0.660671
158	0.671107
159	0.667958
160	0.661454
161	0.667850
162	0.665788
163	0.663599
164	0.664646
165	0.653535
166	0.662932
167	0.661243
168	0.669835
169	0.655388
170	0.656379
171	0.663414
172	0.676820
173	0.658215
174	0.658740
175	0.658087
176	0.667397
177	0.654630
178	0.664697
179	0.656023
180	0.664487
181	0.667615
182	0.658442
183	0.656535
184	0.658566
185	0.663760
186	0.652205
187	0.658168
188	0.657622
189	0.647276
190	0.643858
191	0.636671
192	0.650740
193	0.658989
194	0.660105
195	0.660152
196	0.673054
197	0.673389
198	0.664590
199	0.665753
200	0.682618
201	0.660479
202	0.665540
203	0.660018
204	0.667647
205	0.667032
206	0.658726
207	0.661400
208	0.653528
209	0.662991
210	0.656471
211	0.657996
212	0.659822
213	0.658851
214	0.645815
215	0.648717
216	0.648024
217	0.655093
218	0.656393
219	0.662904
220	0.647966
221	0.644594
222	0.642869
223	0.631794
224	0.638242
225	0.644419
226	0.637967
227	0.623819
228	0.632428
229	0.642237
230	0.620429
231	0.618775
232	0.625234
233	0.621379
234	0.619645
235	0.620608
236	0.629009
237	0.613943
238	0.624790
239	0.622154
240	0.666163
241	0.664944
242	0.715951
243	0.730533
244	0.733961
245	0.726382
246	0.728771
247	0.719202
248	0.722854
249	0.724317
250	0.715027
251	0.711413
252	0.711658
253	0.704443
254	0.701968
255	0.696189
256	0.699018
257	0.697011
258	0.694804
259	0.697707
260	0.697215
261	0.692883
262	0.694493
263	0.696158
264	0.694059
265	0.696351
266	0.692727
267	0.691829
268	0.693692
269	0.692308
270	0.693285
271	0.692383
272	0.693064
273	0.693179
274	0.692561
275	0.692893
276	0.693066
277	0.692793
278	0.692878
279	0.692950
280	0.692909
281	0.692961
282	0.692774
283	0.692761
284	0.692906
285	0.692859
286	0.693091
287	0.692887
288	0.692789
289	0.692757
290	0.693113
291	0.693201
292	0.693227
293	0.693020
294	0.693012
295	0.692857
296	0.692636
297	0.692901
298	0.693007
299	0.693084
300	0.693043
301	0.692571
302	0.692988
303	0.692848
304	0.692689
305	0.693083
306	0.693038
307	0.692766
308	0.693099
309	0.692408
310	0.692417
311	0.692741
312	0.693063
313	0.692728
314	0.692718
315	0.692862
316	0.692923
317	0.692483
318	0.692957
319	0.692979
320	0.693050
321	0.692513
322	0.692591
323	0.692635
324	0.692895
325	0.692527
326	0.692543
327	0.692573
328	0.692842
329	0.692276
330	0.692595
331	0.692238
332	0.692436
333	0.692461
334	0.692296
335	0.692463
336	0.692557
337	0.692634
338	0.692313
339	0.692262
340	0.692756
341	0.692080
342	0.692123
343	0.692249
344	0.692243
345	0.692505
346	0.691912
347	0.692423
348	0.692262
349	0.692648
350	0.692063
351	0.692102
352	0.691831
353	0.691907
354	0.691933
355	0.692614
356	0.691693
357	0.692585
358	0.691758
359	0.691854
360	0.691949
361	0.691702
362	0.691142
363	0.691992
364	0.691278
365	0.691918
366	0.691353
367	0.691449
368	0.691671
369	0.691243
370	0.691448
371	0.691616
372	0.691447
373	0.691106
374	0.691247
375	0.690876
376	0.690319
377	0.691099
378	0.690755
379	0.690080
380	0.690896
381	0.690757
382	0.691294
383	0.690995
384	0.690413
385	0.690974
386	0.690775
387	0.690695
388	0.688352
389	0.686961
390	0.688913
391	0.696806
392	0.691669
393	0.691918
394	0.690346
395	0.690859
396	0.689158
397	0.689610
398	0.691302
399	0.688800
400	0.690890
401	0.690590
402	0.689678
403	0.689423
404	0.688163
405	0.690158
406	0.688904
407	0.688565
408	0.688648
409	0.689133
410	0.689354
411	0.688130
412	0.687011
413	0.686721
414	0.689665
415	0.688105
416	0.688726
417	0.691193
418	0.687709
419	0.689215
420	0.686783
421	0.685633
422	0.687550
423	0.687353
424	0.687098
425	0.686824
426	0.686895
427	0.686197
428	0.684183
429	0.688812
430	0.686862
431	0.687845
432	0.686680
433	0.683872
434	0.685887
435	0.686923
436	0.688563
437	0.687283
438	0.686682
439	0.683267
440	0.688304
441	0.684767
442	0.685343
443	0.684679
444	0.686329
445	0.684258
446	0.687411
447	0.684140
448	0.686056
449	0.687121
450	0.684743
451	0.684296
452	0.684790
453	0.684762
454	0.686652
455	0.683956
456	0.683810
457	0.683598
458	0.682692
459	0.686353
460	0.682885
461	0.682319
462	0.687154
463	0.679995
464	0.683859
465	0.681456
466	0.678807
467	0.685741
468	0.680000
469	0.677529
470	0.681463
471	0.681714
472	0.683146
473	0.680566
474	0.677250
475	0.677680
476	0.675903
477	0.681187
478	0.681270
479	0.676618
480	0.679472
481	0.677810
482	0.673963
483	0.675117
484	0.674348
485	0.677784
486	0.672910
487	0.681105
488	0.676445
489	0.675358
490	0.669539
491	0.678175
492	0.671027
493	0.667755
494	0.671554
495	0.662369
496	0.662820
497	0.670802
498	0.670644
499	0.663926
500	0.655043
501	0.657645
502	0.664548
503	0.643553
504	0.656204
505	0.638636
506	0.646935
507	0.649056
508	0.649323
509	0.638278
510	0.633655
511	0.638384
512	0.634328
513	0.639387
514	0.632803
515	0.628027
516	0.626576
517	0.626585
518	0.641788
519	0.680072
520	0.687235
521	0.671720
522	0.661156
523	0.659624
524	0.674589
525	0.672788
526	0.677684
527	0.676113
528	0.662657
529	0.669059
530	0.661154
531	0.665751
532	0.670323
533	0.665038
534	0.671201
535	0.659321
536	0.655466
537	0.655526
538	0.659313
539	0.663819
540	0.650693
541	0.656906
542	0.653519
543	0.649630
544	0.660815
545	0.651516
546	0.646454
547	0.639800
548	0.646958
549	0.645757
550	0.646773
551	0.643064
552	0.635106
553	0.639980
554	0.635867
555	0.629274
556	0.621118
557	0.616463
558	0.616976
559	0.625525
560	0.615595
561	0.619122
562	0.604006
563	0.610069
564	0.601918
565	0.624150
566	0.608767
567	0.623472
568	0.605066
569	0.603729
570	0.589260
571	0.597842
572	0.603975
573	0.606880
574	0.625255
575	0.612642
576	0.598766
577	0.609014
578	0.594104
579	0.597486
580	0.591610
581	0.567604
582	0.586435
583	0.595919
584	0.583294
585	0.578072
586	0.574329
587	0.568354
588	0.592981
589	0.558900
590	0.575978
591	0.542973
592	0.552078
593	0.557022
594	0.554863
595	0.549742
596	0.562212
597	0.563788
598	0.552646
599	0.560191
600	0.548888
601	0.534137
602	0.533941
603	0.560281
604	0.541707
605	0.544921
606	0.535344
607	0.561504
608	0.520326
609	0.512529
610	0.547183
611	0.526200
612	0.511232
613	0.525493
614	0.503648
615	0.503487
616	0.500841
617	0.535826
618	0.509078
619	0.522640
620	0.519558
621	0.492921
622	0.518077
623	0.512321
624	0.507215
625	0.479645
626	0.490456
627	0.482422
628	0.477014
629	0.494498
630	0.479406
631	0.483532
632	0.494375
633	0.491155
634	0.458587
635	0.473056
636	0.505524
637	0.486898
638	0.488081
639	0.494199
640	0.471735
641	0.465707
642	0.470485
643	0.463790
644	0.480261
645	0.487575
646	0.474793
647	0.448923
648	0.480302
649	0.476049
650	0.452771
651	0.462623
652	0.459893
653	0.459759
654	0.450988
655	0.465884
656	0.463765
657	0.458693
658	0.456034
659	0.446098
660	0.443042
661	0.456881
662	0.432429
663	0.469274
664	0.460322
665	0.443930
666	0.447133
667	0.454613
668	0.451813
669	0.427916
670	0.423920
671	0.447678
672	0.412382
673	0.435136
674	0.445122
675	0.436148
676	0.424494
677	0.427414
678	0.435223
679	0.413282
680	0.393632
681	0.410272
682	0.421082
683	0.447695
684	0.410156
685	0.419871
686	0.404354
687	0.415923
688	0.432979
689	0.405012
690	0.397568
691	0.461793
692	0.400227
693	0.428387
694	0.411037
695	0.411389
696	0.438367
697	0.404081
698	0.389988
699	0.413972
700	0.389395
701	0.389495
702	0.389590
703	0.413339
704	0.393516
705	0.406032
706	0.412638
707	0.384294
708	0.398954
709	0.392842
710	0.373853
711	0.395511
712	0.363832
713	0.398077
714	0.399148
715	0.375232
716	0.383509
717	0.389391
718	0.367083
719	0.385434
720	0.387570
721	0.420847
722	0.388807
723	0.364247
724	0.400085
725	0.385887
726	0.383285
727	0.398638
728	0.398208
729	0.408775
730	0.401229
731	0.389033
732	0.369393
733	0.389298
734	0.365566
735	0.375915
736	0.344058
737	0.371843
738	0.366107
739	0.386732
740	0.380150
741	0.365709
742	0.344106
743	0.370645
744	0.354956
745	0.375009
746	0.348949
747	0.372208
748	0.339087
749	0.365512
750	0.351645
751	0.341733
752	0.390197
753	0.356020
754	0.350863
755	0.336368
756	0.366288
757	0.353985
758	0.340105
759	0.355709
760	0.376269
761	0.374506
762	0.325818
763	0.376325
764	0.363864
765	0.376568
766	0.379170
767	0.374666
768	0.400511
769	0.356519
770	0.346205
771	0.367645
772	0.357442
773	0.387562
774	0.369553
775	0.334092
776	0.321967
777	0.377618
778	0.348722
779	0.344085
780	0.358783
781	0.341552
782	0.338995
783	0.357472
784	0.347524
785	0.348159
786	0.352380
787	0.310950
788	0.354599
789	0.367277
790	0.347525
791	0.359052
792	0.339516
793	0.368986
794	0.331386
795	0.327885
796	0.325807
797	0.326412
798	0.344668
799	0.345896
800	0.331143
801	0.342410
802	0.347892
803	0.353986
804	0.345208
805	0.341654
806	0.325856
807	0.348998
808	0.343883
809	0.341371
810	0.348567
811	0.345030
812	0.344043
813	0.316814
814	0.342540
815	0.348525
816	0.325511
817	0.304365
818	0.337254
819	0.309307
820	0.338749
821	0.320617
822	0.357266
823	0.356598
824	0.315048
825	0.340754
826	0.315272
827	0.338891
828	0.334882
829	0.312518
830	0.321344
831	0.354994
832	0.319652
833	0.311322
834	0.327780
835	0.340938
836	0.310863
837	0.317866
838	0.309427
839	0.318073
840	0.316875
841	0.313797
842	0.328934
843	0.325134
844	0.307843
845	0.324411
846	0.333908
847	0.333069
848	0.292163
849	0.316539
850	0.309713
851	0.315288
852	0.319924
853	0.298905
854	0.317348
855	0.299510
856	0.317261
857	0.301046
858	0.285343
859	0.307437
860	0.303826
861	0.296724
862	0.319696
863	0.295246
864	0.303431
865	0.320306
866	0.327799
867	0.327694
868	0.305619
869	0.321742
870	0.278766
871	0.312957
872	0.306116
873	0.294184
874	0.292919
875	0.287331
876	0.309478
877	0.311351
878	0.304368
879	0.306486
880	0.301681
881	0.288724
882	0.296628
883	0.282592
884	0.276797
885	0.287931
886	0.292083
887	0.304191
888	0.277682
889	0.281502
890	0.287447
891	0.278712
892	0.287856
893	0.272945
894	0.297944
895	0.288201
896	0.301138
897	0.311781
898	0.286583
899	0.283773
900	0.295641
901	0.304264
902	0.339164
903	0.281060
904	0.291302
905	0.293220
906	0.298008
907	0.280734
908	0.291268
909	0.279584
910	0.283708
911	0.296831
912	0.274315
913	0.307097
914	0.291167
915	0.291679
916	0.270545
917	0.270227
918	0.273437
919	0.283361
920	0.274313
921	0.278804
922	0.271679
923	0.301113
924	0.277364
925	0.290338
926	0.274614
927	0.275836
928	0.263407
929	0.270091
930	0.287250
931	0.271830
932	0.278309
933	0.280555
934	0.276226
935	0.280267
936	0.290770
937	0.283495
938	0.315583
939	0.279035
940	0.300951
941	0.325229
942	0.279607
943	0.290968
944	0.288159
945	0.294010
946	0.255472
947	0.304379
948	0.303053
949	0.297150
950	0.263771
951	0.285015
952	0.276088
953	0.281524
954	0.328150
955	0.269345
956	0.312524
957	0.287225
958	0.306513
959	0.290666
960	0.279572
961	0.283711
962	0.268437
963	0.323580
964	0.312641
965	0.300719
966	0.300011
967	0.275846
968	0.291453
969	0.290659
970	0.281096
971	0.290133
972	0.264369
973	0.287869
974	0.350816
975	0.316249
976	0.430123
977	0.387457
978	0.309304
979	0.373798
980	0.316802
981	0.300290
982	0.300783
983	0.321335
984	0.297875
985	0.267095
986	0.298138
987	0.316317
988	0.311813
989	0.299714
990	0.300030
991	0.305434
992	0.305479
993	0.258538
994	0.279133
995	0.267455
996	0.289242
997	0.289193
998	0.288659
999	0.268131
1000	0.270088
1001	0.277498
1002	0.279154
1003	0.278797
1004	0.264031
1005	0.260339
1006	0.259281
1007	0.271086
1008	0.273399
1009	0.272845
1010	0.255140
1011	0.296089
1012	0.258059
1013	0.247495
1014	0.260798
1015	0.267808
1016	0.278977
1017	0.265030
1018	0.271058
1019	0.269958
1020	0.271339
1021	0.263048
1022	0.274028
1023	0.257439
1024	0.272856
1025	0.247200
1026	0.275327
1027	0.248653
1028	0.292974
1029	0.252882
1030	0.265703
1031	0.244375
1032	0.269772
